2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menubar/css/widget-menubar.css no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menubar/css/widget-menubar.css no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/tabview/widget-tabview.js no change on TS : 2014-07-07T14:12:18.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/tabview/widget-tabview.js no change on TS : 2014-07-07T14:12:18.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/tabview/widget-tabview-conf.js no change on TS : 2014-10-27T15:00:20.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/tabview/widget-tabview-conf.js no change on TS : 2014-10-27T15:00:20.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/tabview/css/widget-tabview.css no change on TS : 2014-07-03T14:00:22.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/tabview/css/widget-tabview.css no change on TS : 2014-07-03T14:00:22.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText.js no change on TS : 2014-08-05T08:00:22.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText.js no change on TS : 2014-08-05T08:00:22.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText-conf.js no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText-conf.js no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/css/widget-richText.css no change on TS : 2014-04-17T10:11:50.000Z
